GD-a,GD-w,MN-a,MN-w,BFGS-a,BFGS-w,L-BFGS-a,L-BFGS-w,DFP-a,DFP-w,NCG-a,NCG-w
"[[ 1.          1.          2.55628865 ...  0.          0.
   0.        ]
 [ 1.         -0.776       0.07131124 ...  0.          0.
   0.        ]]","[[ 1.          1.          3.13350264 ...  0.          0.
   0.        ]
 [ 1.         -0.734375    0.1397068  ...  0.          0.
   0.        ]]","[[1.         3.28971066 3.9169889  ... 0.         0.         0.        ]
 [1.         0.18875002 0.74269587 ... 0.         0.         0.        ]]","[[1.         3.13245922 3.70236677 ... 0.         0.         0.        ]
 [1.         0.24446458 0.66222478 ... 0.         0.         0.        ]]","[[ 1.          1.          1.2313465  ...  0.          0.
   0.        ]
 [ 1.         -0.776      -0.79807469 ...  0.          0.
   0.        ]]","[[ 1.          1.          1.50176597 ...  0.          0.
   0.        ]
 [ 1.         -0.734375   -0.79410894 ...  0.          0.
   0.        ]]","[[ 1.          1.          1.21135294 ...  0.          0.
   0.        ]
 [ 1.         -0.776      -0.6775763  ...  0.          0.
   0.        ]]","[[ 1.          1.          1.2311775  ...  0.          0.
   0.        ]
 [ 1.         -0.734375   -0.66503049 ...  0.          0.
   0.        ]]",[2.99999981 0.4999999 ],[2.99999993 0.49999994],[2.99999999 0.5       ],[3.  0.5]
"[14.203125    4.84702768  0.85473799 ...  0.          0.
  0.        ]","[14.203125    4.76685985  2.35597881 ...  0.          0.
  0.        ]","[14.203125    2.62998571  0.58362484 ...  0.          0.
  0.        ]","[14.203125    1.44768104  0.09155631 ...  0.          0.
  0.        ]","[14.203125    4.84702768  4.34984848 ...  0.          0.
  0.        ]","[14.203125    4.76685985  4.43812181 ...  0.          0.
  0.        ]","[14.203125    4.84702768  3.90151759 ...  0.          0.
  0.        ]","[14.203125    4.76685985  3.81086565 ...  0.          0.
  0.        ]","[14.203125    4.84702768  4.35141335 ...  0.          0.
  0.        ]","[14.203125    4.76685985  4.40507354 ...  0.          0.
  0.        ]","[14.203125    7.14042878  0.3323692  ...  0.          0.
  0.        ]","[14.203125    7.14042878  1.37316977 ...  0.          0.
  0.        ]"
448,705,9,8,15,15,19,16,23,23,8,8
0.0855712890625,0.30611371994018555,0.0037772655487060547,0.0047512054443359375,0.004151105880737305,0.005321502685546875,0.004883527755737305,0.005803346633911133,0.0055942535400390625,0.007567882537841797,0.0025529861450195312,0.0030875205993652344
"Converged. Gradient norm is below tolerance. 
","Converged. Gradient norm is below tolerance. 
",Converged. Gradient norm is below tolerance.,Converged. Gradient norm is below tolerance.,Converged. Gradient norm is below tolerance.,Converged. Gradient norm is below tolerance.,Converged. Gradient norm is below tolerance.,Converged. Gradient norm is below tolerance.,Converged. Gradient norm is below tolerance.,Converged. Gradient norm is below tolerance.,"Converged. Gradient norm is below tolerance. 
","Converged. Gradient norm is below tolerance. 
"
"[27.75        4.42999062  5.11350082 ...  0.          0.
  0.        ]","[27.75        4.61122652 10.24225692 ...  0.          0.
  0.        ]","[27.75       11.54867281 13.69429056 ...  0.          0.
  0.        ]","[27.75        8.81431287  3.52396712 ...  0.          0.
  0.        ]","[27.75        4.42999062  5.33851262 ...  0.          0.
  0.        ]","[27.75        4.61122652  9.75548064 ...  0.          0.
  0.        ]","[27.75        4.42999062  4.05764159 ...  0.          0.
  0.        ]","[27.75        4.61122652  4.03768966 ...  0.          0.
  0.        ]","[27.75        4.42999062  5.28419947 ...  0.          0.
  0.        ]","[27.75        4.61122652  9.4892638  ...  0.          0.
  0.        ]","[27.75       11.50655718  1.65733145 ...  0.          0.
  0.        ]","[27.75       11.50655718  7.20125777 ...  0.          0.
  0.        ]"
