Gradient Descent,Gradient DescentW,Modified Newton,Modified NewtonW,BFGS,BFGSW,L-BFGS,L-BFGSW
"[-0.04418635 -0.1205932  -0.07391818 -0.10195279 -0.09667863 -0.10425368
 -0.12505353  0.01016012 -0.07622551 -0.11813369]","[-0.04418635 -0.1205932  -0.07391818 -0.10195279 -0.09667863 -0.10425368
 -0.12505353  0.01016012 -0.07622551 -0.11813369]","[-0.04418353 -0.12059312 -0.07392218 -0.10195258 -0.09668032 -0.10425479
 -0.12505469  0.01016127 -0.07622737 -0.11813431]","[-0.04418353 -0.12059312 -0.07392218 -0.10195258 -0.09668032 -0.10425479
 -0.12505469  0.01016127 -0.07622737 -0.11813431]","[-0.04418368 -0.12059322 -0.07392236 -0.10195244 -0.0966801  -0.10425475
 -0.12505467  0.01016111 -0.07622753 -0.11813431]","[-0.04418368 -0.12059322 -0.07392236 -0.10195244 -0.0966801  -0.10425475
 -0.12505467  0.01016111 -0.07622753 -0.11813431]","[-0.04418343 -0.12059304 -0.0739222  -0.10195244 -0.09668021 -0.10425467
 -0.1250547   0.01016105 -0.07622727 -0.11813433]","[-0.04418343 -0.12059304 -0.0739222  -0.10195244 -0.09668021 -0.10425467
 -0.1250547   0.01016105 -0.07622727 -0.11813433]"
-0.1682901346233251,-0.1682901346233251,-0.16829013464119755,-0.16829013464119755,-0.16829013464093268,-0.16829013464093268,-0.16829013464092737,-0.16829013464092737
54,54,1,1,19,19,16,16
0.0077321529388427734,0.012814760208129883,0.0015065670013427734,0.0006797313690185547,0.0038356781005859375,0.004982709884643555,0.0043487548828125,0.00493168830871582
"Converged. Gradient norm is below tolerance. 
","Converged. Gradient norm is below tolerance. 
",Converged. Gradient norm is below tolerance.,Converged. Gradient norm is below tolerance.,Converged. Gradient norm is below tolerance.,Converged. Gradient norm is below tolerance.,Converged. Gradient norm is below tolerance.,Converged. Gradient norm is below tolerance.
"[78.30104369 81.21786054 18.46163975 ...  0.          0.
  0.        ]","[78.30104369 81.21786054 18.46163975 ...  0.          0.
  0.        ]","[7.83010437e+01 1.00680457e-14 0.00000000e+00 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]","[7.83010437e+01 1.00680457e-14 0.00000000e+00 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]","[78.30104369 81.21786054 55.85758088 ...  0.          0.
  0.        ]","[78.30104369 81.21786054 55.85758088 ...  0.          0.
  0.        ]","[78.30104369 81.21786054  8.70415902 ...  0.          0.
  0.        ]","[78.30104369 81.21786054  8.70415902 ...  0.          0.
  0.        ]"
